Id,Date,Transaction
0,7/15,+60.5
1,7/28,-10.3
2,8/2,-20.46
3,8/13,+10
4,7/1,-88.81
5,7/7,+91.53
6,7/29,+4.63
7,8/19,+80.37
8,7/1,-43.67
9,7/2,+40.92
10,8/1,-41.10
11,8/18,-15.42
12,7/5,+34.29
13,8/4,+50.13
14,7/3,+85.92
15,8/19,+87.36
16,7/11,+6.79
17,8/23,-2.31
18,7/6,-28.44
19,7/7,-65.33
20,8/18,-79.69
21,8/24,-46.49
22,8/23,-35.28
23,7/7,+40.50
24,8/20,+56.31
25,8/24,-39.24
26,7/29,+66.33
27,7/18,-99.18
28,8/10,+58.74
29,7/16,-20.58
30,7/23,+78.31
31,8/15,-19.94
32,7/11,-26.28
33,7/2,-1.65
34,7/24,+19.49
35,7/4,-80.66
36,7/29,+16.72
37,8/11,-22.22
38,8/25,-79.16
39,7/17,+22.04
40,7/23,-21.04
41,8/22,+99.03
42,7/14,-49.89
43,7/6,+39.66
44,8/1,+23.58
45,7/16,-55.53
46,7/18,-52.12
47,8/16,+86.34
48,7/4,-17.43
49,8/18,+57.54
50,7/4,+20.60
51,8/31,+61.78
52,8/3,+5.91
53,8/6,-2.10
54,8/30,+95.84
55,7/5,+59.38
56,8/4,-57.80
57,7/7,-84.09
58,7/18,-84.85
59,7/10,+60.64
60,7/15,-96.65
61,8/19,+82.47
62,8/30,+81.61
63,7/20,-68.01
64,8/30,+33.19
65,8/21,+54.24
66,7/14,+85.02
67,7/13,-63.57
68,7/9,+16.12
69,7/20,+91.06
70,8/27,+11.89
71,7/28,+71.54
72,7/7,-0.79
73,8/25,+58.13
74,7/14,+96.81
75,7/27,-46.71
76,7/24,-98.46
77,7/28,+36.08
78,7/10,-41.65
79,8/28,-21.57
80,7/5,-20.71
81,7/6,-92.03
82,7/13,-79.39
83,7/12,+38.26
84,8/21,+76.83
85,7/27,+18.60
86,8/4,-28.96
87,8/16,-58.88
88,8/29,+21.72
89,7/31,+69.96
90,8/25,+20.54
91,8/18,+97.78
92,8/23,+41.18
93,7/3,+85.07
94,7/25,-96.61
95,8/25,+25.56
96,8/2,-55.91
97,8/17,-4.06
98,8/20,-90.06
99,8/29,+56.68
100,7/2,+12.55
101,8/16,-33.93
102,8/1,-42.46
103,7/22,-46.85
104,8/28,-28.57
105,8/21,-42.87
106,8/14,-79.06
107,8/6,-71.43
108,7/19,+97.87
109,8/29,-23.64
110,8/5,-70.51
111,7/19,+66.82
112,8/8,-59.59
113,8/9,+25.00
114,8/16,+87.00
115,8/20,+53.35
116,8/18,+75.85
117,8/17,-90.21
118,7/4,+17.24
119,8/28,+81.13
120,7/15,-53.23
121,7/31,-52.59
122,8/10,+6.10
123,7/19,-37.80
124,8/14,+30.11
